Nom,Appartenance,Fonction,Lieu,Race,État
Dorin le Court-Souffle,None,"Brasseur,Conteur","Frondains, Nourchêne, Sylve d'Aerwyn",Halfelin,Vivant.e
Vaëlyn du Souvenir,"Galavorn, Tronc-Conseil",Voix des Galavorn,"Cîmes-Haute, Frondains, Hauts-Feuillus, Nourchêne, Sylve d'Aerwyn",Elfe,Vivant.e
Vaerion Lhémir,Aeriël,Maître du Pavillon des Voiles,"Aey'Luin, Frondains, Sylve d'Aerwyn",Elfe,Vivant.e
Miryen des Reflets,Aeriël,Oracle,"Aey'Luin, Frondains, Sylve d'Aerwyn",Elfe,Vivant.e
Nahril le Gris,None,"Voyageur,Chroniqueur","Aey'Luin, Frondains, Sylve d'Aerwyn",Demi-Elfe,Vivant.e
Yssan Thalor,Aeriël,Artisan du Souffle,"Aey'Luin, Frondains, Sylve d'Aerwyn",Elfe,Vivant.e
Thalya Ennoriel,"Cercle des Racines Célestes, Galavorn",Voix du Souffle,"Cîmes-Haute, Hauts-Feuillus, Sylve d'Aerwyn",Elfe,Vivant.e
Rhaen Galvar,"Cercle des Racines Célestes, Galavorn",Gardiens des Piliers,"Cîmes-Haute, Hauts-Feuillus, Sylve d'Aerwyn",Elfe,Vivant.e
Lyssar Amneor,"Cercle des Racines Célestes, Galavorn",Chantre des Vents - Maître des hymnes sacrés,"Cîmes-Haute, Hauts-Feuillus, Sylve d'Aerwyn",Elfe,Vivant.e
Neryal Ithien,"Cercle de la Lune, Cercle des Racines Célestes, Druide, Galavorn",Silvanier du Nord - Druidesse et conseillère du Cercle,"Cîmes-Haute, Hauts-Feuillus, Sylve d'Aerwyn",Elfe,Vivant.e
Elarion Veyss,"Cercle des Racines Célestes, Galavorn",Archidruide de la Sève - Guide spirituel du Clan,"Cîmes-Haute, Hauts-Feuillus, Sylve d'Aerwyn",Elfe,Vivant.e
Orvan Dell,Cercle des Erudits de Mhyrra,Archéologue principal – responsable du camp de fouilles d’Anelthir,"Anelthir, Hauts-Feuillus, Sylve d'Aerwyn",Humain,Vivant.e
Kera Thilwen,"Aeriël, Cercle des Erudits de Mhyrra",Chroniqueuse et traductrice,"Anelthir, Hauts-Feuillus, Sylve d'Aerwyn",Elfe,Vivant.e
Durnik Fer-Racine,Guilde des Cartographes de Vhalarion,Ingénieur et arpenteur des ruines,"Anelthir, Hauts-Feuillus, Sylve d'Aerwyn",Nain,Vivant.e
Krikk,Fratrie des Écailles Blêmes,Chef des kobolds d’Anelthir,"Anelthir, Hauts-Feuillus, Sylve d'Aerwyn",Kobold,Vivant.e
Vrix et Taka,Fratrie des Écailles Blêmes,Guetteurs et patrouilleurs des tunnels,"Anelthir, Hauts-Feuillus, Sylve d'Aerwyn",Kobold,Vivant.e
Eryndel Morn,"Cercle des Racines Célestes, Choeur du Néant, Druide, Galavorn",Druide apostat / Agent du Vide,"Cîmes-Haute, Hauts-Feuillus, Sylve d'Aerwyn",Elfe,Vivant.e
Frère Alion,Cercle des Racines Célestes,Herboriste et gardien des serres sacrées,"Cîmes-Haute, Hauts-Feuillus, Sylve d'Aerwyn",Demi-Elfe,Vivant.e
Miraël Verlae,"Galavorn, Jardinière du Souffle",Cheffe des Terrasses de Verlae,"Hauts-Feuillus, Sylve d'Aerwyn, Terrasse de Verlae",Elfe,Vivant.e
Yrion Feuille-d’Aube,"Galavorn, Jardinière du Souffle",Responsable des serres médicinales,"Hauts-Feuillus, Sylve d'Aerwyn, Terrasse de Verlae",Elfe,Vivant.e
Ashael,"Galavorn, Jardinière du Souffle",Apprenti Jardinier,"Hauts-Feuillus, Sylve d'Aerwyn, Terrasse de Verlae",Demi-Elfe,Vivant.e
Shyris,"Druide, Galavorn",Défense des Terrasses,"Hauts-Feuillus, Sylve d'Aerwyn, Terrasse de Verlae",Elfe,Vivant.e
Arvyn,Galavorn,Guetteur des hauteurs,"Hauts-Feuillus, Sylve d'Aerwyn, Terrasse de Verlae",Demi-Elfe,Vivant.e
Telor,None,Messager et pisteur,"Hauts-Feuillus, Sylve d'Aerwyn, Terrasse de Verlae",Demi-Elfe,Vivant.e
Druan Silme,Cercle de Lir,Doyen druidique,"Frondains, Lethariel, Sylve d'Aerwyn",Elfe,Vivant.e
Naelwyn,Cercle de Lir,Apprentie Druide,"Frondains, Lethariel, Sylve d'Aerwyn",Demi-Elfe,Vivant.e
Taren Ols,None,Pêcheur,"Frondains, Lethariel, Sylve d'Aerwyn",Humain,Vivant.e
